cid,email,iid,iname,strength
NPN100,NPN100@courses.iitd.ac.in,bkundu,Bishwajit Kundu,3
NSN100,NSN100@courses.iitd.ac.in,rajesh,Rajesh Prasad,0
PHP712,PHP712@courses.iitd.ac.in,rsingh,Rajendra Singh,0
PTL702,PTL702@courses.iitd.ac.in,akghosh,A K Ghosh,22
PTL706,PTL706@courses.iitd.ac.in,bhabani,Bhabani Kumar Satapathy,22
PTL709,PTL709@courses.iitd.ac.in,ssaha,Sampa Saha,23
PTL716,PTL716@courses.iitd.ac.in,jacob,Josemon Jacob,21
PTP720,PTP720@courses.iitd.ac.in,bhabani,Bhabani Kumar Satapathy,21
PYD411,PYD411@courses.iitd.ac.in,amartya,Amartya Sengupta,4
PYD412,PYD412@courses.iitd.ac.in,amartya,Amartya Sengupta,2
PYD414,PYD414@courses.iitd.ac.in,amartya,Amartya Sengupta,9
PYD561,PYD561@courses.iitd.ac.in,jpsingh,Jitendra Pratap Singh,0
PYD562,PYD562@courses.iitd.ac.in,jpsingh,Jitendra Pratap Singh,45
PYD802,PYD802@courses.iitd.ac.in,pintu,Pintu Das,14
PYD852,PYD852@courses.iitd.ac.in,psenthil,P Senthilkumaran,6
PYL100,PYL100@courses.iitd.ac.in,joyee,Joyee Ghosh,485
PYL102,PYL102@courses.iitd.ac.in,amartya,Amartya Sengupta,163
PYL112,PYL112@courses.iitd.ac.in,vravi,V Ravishankar,98
PYL114,PYL114@courses.iitd.ac.in,sujeetc,Sujeet Chaudhary,80
PYL116,PYL116@courses.iitd.ac.in,rsingh,Rajendra Singh,59
PYL202,PYL202@courses.iitd.ac.in,akshukla,A K Shukla,56
PYL204,PYL204@courses.iitd.ac.in,sujin,Sujin B Babu,74
PYL302,PYL302@courses.iitd.ac.in,hkmalik,Hitendra Kumar Malik,37
PYL321,PYL321@courses.iitd.ac.in,jpsingh,Jitendra Pratap Singh,28
PYL423,PYL423@courses.iitd.ac.in,prakash,Gaddam Vijaya Prakash,52
PYL552,PYL552@courses.iitd.ac.in,saswata,Saswata Bhattacharya,50
PYL556,PYL556@courses.iitd.ac.in,bkmani,Brajesh Kumar Mani,52
PYL558,PYL558@courses.iitd.ac.in,sankalpa,Sankalpa Ghosh,52
PYL560,PYL560@courses.iitd.ac.in,kedark,Kedar Khare,57
PYL563,PYL563@courses.iitd.ac.in,rnarula,Rohit Narula,52
PYL650,PYL650@courses.iitd.ac.in,ravi,R K Varshney,17
PYL704,PYL704@courses.iitd.ac.in,santanu1,Santanu Ghosh,47
PYL705,PYL705@courses.iitd.ac.in,brmehta,Bodh Raj,37
PYL707,PYL707@courses.iitd.ac.in,mukesh,Mukesh Chander,34
PYL725,PYL725@courses.iitd.ac.in,pankajs,Pankaj Srivastava,23
PYL726,PYL726@courses.iitd.ac.in,gbreddy,G B Reddy,15
PYL727,PYL727@courses.iitd.ac.in,nkhare,Neeraj Khare,8
PYL741,PYL741@courses.iitd.ac.in,amruta,Amruta Mishra,27
PYL742,PYL742@courses.iitd.ac.in,ajitk,Ajit Kumar,22
PYL746,PYL746@courses.iitd.ac.in,maratherahul,Rahul Suresh Marathe,14
PYL747,PYL747@courses.iitd.ac.in,kumarsunil,Sunil Kumar,12
PYL752,PYL752@courses.iitd.ac.in,psenthil,P Senthilkumaran,20
PYL754,PYL754@courses.iitd.ac.in,joby,Joby Joseph,27
PYL758,PYL758@courses.iitd.ac.in,bkanseri,Bhaskar Kanseri,11
PYL760,PYL760@courses.iitd.ac.in,mehtads,Dalip Singh Mehta,30
PYL770,PYL770@courses.iitd.ac.in,ravisoni,R K Soni,7
PYL772,PYL772@courses.iitd.ac.in,bdgupta,B D Gupta,8
PYL780,PYL780@courses.iitd.ac.in,gufranskhan,Gufran Sayeed Khan,7
PYL792,PYL792@courses.iitd.ac.in,ktrajan,K Thyagarajan,39
PYL800,PYL800@courses.iitd.ac.in,asharma,Anurag Sharma,33
PYL892,PYL892@courses.iitd.ac.in,akumar,Arun Kumar,6
PYP100A,PYP100A@courses.iitd.ac.in,kedark,Kedar Khare,225
PYP100B,PYP100B@courses.iitd.ac.in,akshukla,A K Shukla,220
PYP212,PYP212@courses.iitd.ac.in,gbreddy,G B Reddy,59
PYP222,PYP222@courses.iitd.ac.in,ravisoni,R K Soni,52
PYP562,PYP562@courses.iitd.ac.in,psenthil,P Senthilkumaran,47
PYP702,PYP702@courses.iitd.ac.in,rsingh,Rajendra Singh,14
PYP762,PYP762@courses.iitd.ac.in,joby,Joby Joseph,19
PYP764,PYP764@courses.iitd.ac.in,gufranskhan,Gufran Sayeed Khan,0
PYQ301,PYQ301@courses.iitd.ac.in,nkhare,Neeraj Khare,30
PYQ303,PYQ303@courses.iitd.ac.in,varsha,Varsha Banerjee,29
PYS300,PYS300@courses.iitd.ac.in,santanu1,Santanu Ghosh,18
RDD750,RDD750@courses.iitd.ac.in,phari,Hariprasad P ,6
RDL700,RDL700@courses.iitd.ac.in,ssharma,Satyawati Sharma,57
RDL701,RDL701@courses.iitd.ac.in,rprasad,Rajendra Prasad,77
RDL722,RDL722@courses.iitd.ac.in,vkvijay,Virendra Kumar Vijay,123
RDL726,RDL726@courses.iitd.ac.in,snn,S N Naik,21
RDL730,RDL730@courses.iitd.ac.in,chariarv,Vijayaraghavan M Chariar,68
RDL740,RDL740@courses.iitd.ac.in,anushree,Anushree Malik,60
RDL760,RDL760@courses.iitd.ac.in,ssatya,Santosh,76
RDP750,RDP750@courses.iitd.ac.in,ssharma,Satyawati Sharma,17
RDQ301,RDQ301@courses.iitd.ac.in,phari,Hariprasad P ,30
RDQ302,RDQ302@courses.iitd.ac.in,snn,S N Naik,32
RDQ303,RDQ303@courses.iitd.ac.in,jksahu,Jatindra Kumar Sahu,30
RDQ304,RDQ304@courses.iitd.ac.in,ssharma,Satyawati Sharma,29
SBC796,SBC796@courses.iitd.ac.in,ashokpatel,Ashok Kumar Patel,19
SBD301,SBD301@courses.iitd.ac.in,mbanerjee,Manidipa Banerjee,7
SBD895,SBD895@courses.iitd.ac.in,mbanerjee,Manidipa Banerjee,2
SBL100,SBL100@courses.iitd.ac.in,jgomes,James Gomes,364
SBL201,SBL201@courses.iitd.ac.in,ashokpatel,Ashok Kumar Patel,29
SBL701,SBL701@courses.iitd.ac.in,amittal,Aditya Mittal,25
SBL703,SBL703@courses.iitd.ac.in,bkundu,Bishwajit Kundu,7
SBL704,SBL704@courses.iitd.ac.in,vperumal,Vivekanandan Perumal,36
SBL705,SBL705@courses.iitd.ac.in,tkchaudhuri,Tapan Kumar Chaudhuri,19
SBS800,SBS800@courses.iitd.ac.in,mbanerjee,Manidipa Banerjee,1
SBV750,SBV750@courses.iitd.ac.in,achugh,Archana Chugh,10
SBV885,SBV885@courses.iitd.ac.in,bkundu,Bishwajit Kundu,8
SID880,SID880@courses.iitd.ac.in,mbala,M Balakrishnan,1
SID890,SID890@courses.iitd.ac.in,mbala,M Balakrishnan,4
SIL765,SIL765@courses.iitd.ac.in,bnj,B N Jain,62
SIL802,SIL802@courses.iitd.ac.in,aseth,Aaditeshwar Seth,24
SIV895,SIV895@courses.iitd.ac.in,pkalra,Prem Kumar Kalra,10
SML870,SML870@courses.iitd.ac.in,shvetasingh,Shveta Singh,13
SMV896,SMV896@courses.iitd.ac.in,shuchi,Shuchi Sinha,24
TTP716,TTP716@courses.iitd.ac.in,ashwini,Ashwini K Agrawal,15
TXD401,TXD401@courses.iitd.ac.in,nandan,Bhanu Nandan,10
TXD402,TXD402@courses.iitd.ac.in,nandan,Bhanu Nandan,20
TXD803,TXD803@courses.iitd.ac.in,rsr,R S Rengasamy,18
TXD804,TXD804@courses.iitd.ac.in,manjeet,Manjeet Jassal,16
TXL211,TXL211@courses.iitd.ac.in,rajiv,Rajiv K Srivastava,106
TXL221,TXL221@courses.iitd.ac.in,dipayan,Dipayan Das,107
TXL231,TXL231@courses.iitd.ac.in,majumdar,Abhijit Mujumdar,99
TXL241,TXL241@courses.iitd.ac.in,kushal,Kushal Sen,121
TXL361,TXL361@courses.iitd.ac.in,bsbutola,Bhupendra Singh Butola,112
TXL371,TXL371@courses.iitd.ac.in,ishtiaque,S M Ishtiaque,119
TXL372,TXL372@courses.iitd.ac.in,behera,B K Behera,116
TXL714,TXL714@courses.iitd.ac.in,ashwini,Ashwini K Agrawal,20
TXL715,TXL715@courses.iitd.ac.in,manjeet,Manjeet Jassal,14
TXL725,TXL725@courses.iitd.ac.in,rsr,R S Rengasamy,23
TXL740,TXL740@courses.iitd.ac.in,mangala,Mangala Joshi,76
TXL742,TXL742@courses.iitd.ac.in,deepti,Deepti Gupta,17
TXL743,TXL743@courses.iitd.ac.in,samrat,Samrat Mukhopadhyay,37
TXL766,TXL766@courses.iitd.ac.in,behera,B K Behera,18
TXL771,TXL771@courses.iitd.ac.in,ankurgupta,Ankur Gupta,22
TXL773,TXL773@courses.iitd.ac.in,sghosh08,Sourabh Ghosh,59
TXL775,TXL775@courses.iitd.ac.in,apurba,Apurba Das,54
TXL777,TXL777@courses.iitd.ac.in,rchat,R Chattopadhyay,46
TXL782,TXL782@courses.iitd.ac.in,ishtiaque,S M Ishtiaque,58
TXL783,TXL783@courses.iitd.ac.in,rchat,R Chattopadhyay,55
TXP212,TXP212@courses.iitd.ac.in,nandan,Bhanu Nandan,89
TXP221,TXP221@courses.iitd.ac.in,rasamy,R Alagirusamy,96
TXP231,TXP231@courses.iitd.ac.in,arawal,Amit Rawal,98
TXP241,TXP241@courses.iitd.ac.in,wazed,Md S Wazed Ali,119
TXP361,TXP361@courses.iitd.ac.in,samrat,Samrat Mukhopadhyay,97
TXP725,TXP725@courses.iitd.ac.in,rsr,R S Rengasamy,16
TXP761,TXP761@courses.iitd.ac.in,apurba,Apurba Das,15
TXQ302,TXQ302@courses.iitd.ac.in,kushal,Kushal Sen,120
TXV702,TXV702@courses.iitd.ac.in,behera,B K Behera,57
TXV707,TXV707@courses.iitd.ac.in,behera,B K Behera,31
VED750,VED750@courses.iitd.ac.in,ravimr,M R Ravi,2
VEL700,VEL700@courses.iitd.ac.in,ravimr,M R Ravi,60
VEV731,VEV731@courses.iitd.ac.in,skohli,Sangeeta Kohli,1
VEV732,VEV732@courses.iitd.ac.in,skohli,Sangeeta Kohli,0
VEV735,VEV735@courses.iitd.ac.in,skohli,Sangeeta Kohli,0
